epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3144.71,2.55338,2.32774,1.35665,0.22278,0.26381,0.15259,0.0449,2.32237,8.39335,1.27826,0.009703,0.009703,0.009703
62,3196.85,2.55857,2.31642,1.35789,0.21556,0.26692,0.14442,0.04075,2.32269,7.89601,1.27157,0.00969805,0.00969805,0.00969805
63,3248.56,2.55219,2.2963,1.35085,0.21453,0.27828,0.14961,0.04508,2.32412,8.83907,1.27371,0.0096931,0.0096931,0.0096931
64,3299.81,2.55321,2.31659,1.36091,0.21728,0.2714,0.15573,0.04598,2.30934,8.29203,1.26889,0.00968815,0.00968815,0.00968815
65,3350.65,2.55454,2.30222,1.34699,0.21817,0.27383,0.15229,0.04408,2.31693,7.97972,1.25722,0.0096832,0.0096832,0.0096832
66,3401.99,2.56061,2.31311,1.35821,0.22997,0.27865,0.15897,0.04755,2.31271,8.09214,1.26307,0.00967825,0.00967825,0.00967825
67,3453.24,2.55625,2.30275,1.34319,0.22443,0.28061,0.16226,0.04775,2.30658,8.83288,1.25807,0.0096733,0.0096733,0.0096733
68,3505.31,2.53849,2.30039,1.3524,0.22621,0.2796,0.16284,0.04799,2.30472,8.64027,1.27331,0.00966835,0.00966835,0.00966835
69,3557.89,2.5629,2.2926,1.3519,0.22301,0.28248,0.16154,0.04799,2.30539,7.63664,1.26666,0.0096634,0.0096634,0.0096634
70,3608.39,2.5499,2.29787,1.34647,0.2229,0.28058,0.15441,0.04448,2.31289,8.20419,1.2589,0.00965845,0.00965845,0.00965845
71,3658.49,2.5516,2.29591,1.33698,0.2337,0.28366,0.1669,0.04811,2.31652,8.60197,1.25975,0.0096535,0.0096535,0.0096535
72,3708.56,2.5609,2.28522,1.34051,0.23871,0.28527,0.16414,0.04796,2.31249,9.19079,1.2613,0.00964855,0.00964855,0.00964855
73,3757.79,2.54985,2.29554,1.34541,0.22948,0.28475,0.16032,0.04636,2.3065,7.69176,1.25469,0.0096436,0.0096436,0.0096436
74,3807.39,2.54113,2.27988,1.3533,0.23158,0.28517,0.16597,0.04843,2.29736,8.35044,1.2563,0.00963865,0.00963865,0.00963865
75,3856.96,2.53257,2.26124,1.33669,0.23537,0.28256,0.17179,0.05159,2.29031,8.08173,1.26196,0.0096337,0.0096337,0.0096337
76,3905.87,2.5436,2.27451,1.34311,0.22514,0.29522,0.16453,0.0489,2.29503,8.9296,1.26253,0.00962875,0.00962875,0.00962875
77,3954.56,2.52486,2.28287,1.34266,0.24613,0.27974,0.17791,0.05387,2.29139,7.21767,1.2647,0.0096238,0.0096238,0.0096238
78,4003.49,2.53199,2.28518,1.34003,0.24086,0.27734,0.1706,0.0501,2.28806,6.78655,1.2565,0.00961885,0.00961885,0.00961885
79,4052.98,2.52775,2.25828,1.33879,0.24598,0.30439,0.18507,0.05555,2.28855,8.08933,1.2571,0.0096139,0.0096139,0.0096139
80,4101.58,2.54262,2.26509,1.34828,0.24013,0.29266,0.17308,0.05195,2.2837,8.12138,1.25732,0.00960895,0.00960895,0.00960895
81,4149.95,2.5296,2.28112,1.34762,0.25392,0.2921,0.18253,0.05538,2.28925,8.51673,1.26035,0.009604,0.009604,0.009604
82,4198.37,2.54135,2.26578,1.33451,0.24709,0.29379,0.17681,0.05246,2.28476,7.7073,1.25342,0.00959905,0.00959905,0.00959905
83,4247.76,2.52667,2.2629,1.33081,0.24954,0.29226,0.18398,0.05579,2.27726,7.78507,1.24702,0.0095941,0.0095941,0.0095941
84,4297.27,2.53228,2.25088,1.33279,0.24303,0.29427,0.17833,0.05362,2.27887,7.53743,1.25499,0.00958915,0.00958915,0.00958915
85,4345.97,2.52793,2.26571,1.34162,0.26033,0.29922,0.19228,0.05839,2.27721,7.81237,1.25002,0.0095842,0.0095842,0.0095842
86,4394.91,2.53236,2.25103,1.34081,0.26018,0.30474,0.19778,0.05919,2.26767,7.60926,1.24597,0.00957925,0.00957925,0.00957925
87,4444.43,2.54278,2.24931,1.32601,0.25627,0.29978,0.19563,0.05901,2.27445,7.5296,1.24522,0.0095743,0.0095743,0.0095743
88,4493.41,2.52111,2.24848,1.34041,0.26539,0.30142,0.19851,0.06034,2.27143,7.54038,1.2548,0.00956935,0.00956935,0.00956935
89,4542.37,2.52653,2.24799,1.3378,0.25752,0.30094,0.19166,0.05729,2.28087,7.18928,1.24894,0.0095644,0.0095644,0.0095644
90,4590.88,2.52042,2.24012,1.3369,0.26344,0.31468,0.20078,0.05943,2.26076,8.15264,1.2442,0.00955945,0.00955945,0.00955945
91,4640.15,2.51527,2.23358,1.33233,0.25611,0.29738,0.19357,0.05803,2.26434,6.8499,1.24027,0.0095545,0.0095545,0.0095545
92,4689.36,2.52289,2.22685,1.32893,0.25801,0.31252,0.19694,0.05881,2.26548,8.15462,1.2374,0.00954955,0.00954955,0.00954955
93,4738.95,2.52536,2.24969,1.33475,0.26606,0.31523,0.20296,0.0612,2.26511,7.93767,1.24253,0.0095446,0.0095446,0.0095446
94,4787.58,2.51365,2.23239,1.32509,0.26767,0.30584,0.20416,0.06148,2.26253,7.22584,1.23798,0.00953965,0.00953965,0.00953965
95,4836.9,2.52425,2.23312,1.31978,0.27113,0.3076,0.20492,0.06253,2.25014,6.62633,1.22945,0.0095347,0.0095347,0.0095347
96,4885.21,2.52399,2.22739,1.32358,0.27411,0.3113,0.20834,0.06255,2.26142,6.96113,1.23183,0.00952975,0.00952975,0.00952975
97,4934.58,2.50465,2.20733,1.32271,0.27354,0.319,0.21118,0.06443,2.25208,7.36568,1.23574,0.0095248,0.0095248,0.0095248
98,4983.63,2.51175,2.22106,1.32895,0.2746,0.3179,0.21042,0.06368,2.25257,7.5528,1.24206,0.00951985,0.00951985,0.00951985
99,5032.98,2.49727,2.20399,1.33365,0.27873,0.31935,0.21568,0.06591,2.25159,6.85087,1.23058,0.0095149,0.0095149,0.0095149
100,5082.82,2.50692,2.22064,1.3334,0.28163,0.32156,0.21298,0.06435,2.24402,7.13139,1.23591,0.00950995,0.00950995,0.00950995
101,5132.52,2.50568,2.18686,1.31342,0.27445,0.31573,0.2105,0.06349,2.24633,7.09526,1.22728,0.009505,0.009505,0.009505
102,5182.61,2.50745,2.2102,1.32683,0.28125,0.317,0.21865,0.06702,2.2485,7.18883,1.23082,0.00950005,0.00950005,0.00950005
103,5232.58,2.50734,2.19621,1.3166,0.26526,0.31974,0.20666,0.0626,2.25108,7.67057,1.22669,0.0094951,0.0094951,0.0094951
104,5282.19,2.50952,2.19649,1.32381,0.26801,0.315,0.20656,0.06322,2.24863,6.60521,1.22956,0.00949015,0.00949015,0.00949015
105,5331.8,2.51172,2.19994,1.3235,0.2771,0.3242,0.2174,0.06576,2.2418,7.41521,1.22438,0.0094852,0.0094852,0.0094852
106,5381.7,2.50127,2.18938,1.32288,0.27884,0.32499,0.2145,0.0655,2.24419,6.67236,1.22735,0.00948025,0.00948025,0.00948025
107,5431.5,2.50279,2.18715,1.31487,0.28216,0.32431,0.2165,0.06606,2.24126,6.85336,1.2268,0.0094753,0.0094753,0.0094753
108,5481.48,2.49963,2.19208,1.32033,0.2908,0.32428,0.2245,0.06962,2.23417,6.85788,1.22534,0.00947035,0.00947035,0.00947035
109,5530.51,2.48559,2.17745,1.31468,0.29176,0.32713,0.22915,0.06962,2.23334,7.47986,1.22717,0.0094654,0.0094654,0.0094654
110,5580.34,2.49144,2.18383,1.32183,0.2851,0.32623,0.22247,0.06855,2.23354,6.89588,1.22086,0.00946045,0.00946045,0.00946045
111,5630.09,2.49243,2.17889,1.32403,0.2946,0.32681,0.23074,0.07147,2.22197,6.90619,1.22012,0.0094555,0.0094555,0.0094555
112,5680.56,2.50483,2.18875,1.31522,0.29127,0.33186,0.22932,0.06979,2.22994,7.37536,1.22361,0.00945055,0.00945055,0.00945055
113,5730.94,2.48431,2.17176,1.31253,0.29325,0.32665,0.2247,0.06825,2.22801,6.82531,1.21956,0.0094456,0.0094456,0.0094456
114,5780.35,2.48736,2.17408,1.31527,0.29256,0.32992,0.22832,0.07083,2.22402,7.09519,1.21962,0.00944065,0.00944065,0.00944065
115,5830.54,2.49465,2.17564,1.31181,0.28974,0.33306,0.22943,0.07018,2.22212,7.0099,1.21464,0.0094357,0.0094357,0.0094357
116,5880.73,2.47969,2.16831,1.30947,0.29458,0.33319,0.2372,0.07393,2.2176,7.07589,1.21421,0.00943075,0.00943075,0.00943075
117,5931.99,2.49142,2.17438,1.31861,0.30429,0.33322,0.2369,0.07343,2.21622,6.99996,1.21773,0.0094258,0.0094258,0.0094258
118,5983.26,2.48821,2.16454,1.30986,0.29386,0.33604,0.23154,0.07138,2.21771,6.47409,1.21382,0.00942085,0.00942085,0.00942085
119,6033.14,2.48564,2.16353,1.31423,0.30238,0.33797,0.24023,0.07418,2.21654,6.70874,1.21428,0.0094159,0.0094159,0.0094159
120,6083.38,2.49023,2.15459,1.31503,0.30282,0.33696,0.24135,0.07506,2.2156,6.32515,1.21807,0.00941095,0.00941095,0.00941095
121,6133.76,2.48032,2.15003,1.31165,0.30335,0.33765,0.24043,0.07529,2.21543,6.81561,1.21749,0.009406,0.009406,0.009406
122,6184.24,2.48493,2.14464,1.30573,0.30751,0.33951,0.23883,0.07368,2.21259,6.7392,1.21655,0.00940105,0.00940105,0.00940105
123,6235.84,2.47681,2.14369,1.3167,0.30281,0.33723,0.23785,0.07347,2.21224,6.63104,1.21538,0.0093961,0.0093961,0.0093961
124,6286.16,2.47645,2.13844,1.30422,0.30381,0.3401,0.24072,0.07445,2.21023,6.38217,1.2124,0.00939115,0.00939115,0.00939115
